item_name,text,type,answers,optional,values,side_by_side,btn_width,score:panas_negative,score:panas_postive,
Instructions,<h2><span>Self-Reflection Questionnaire</span></h2><br><br><h6><b>INSTRUCTIONS: </b></h6>Please complete the 20 questions below to indicate the extent to which you have feel this way right now.<br/><br/>,instruct,,,,,,,,
panas_1,Interested →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,1,,
panas_2,Distressed →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,,1,
panas_3,Excited →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,1,,
panas_4,Upset →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,,1,
panas_5,Strong →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,1,,
panas_6,Guilty →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,,1,
panas_7,Scared →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,,1,
panas_8,Hostile →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,,1,
panas_9,Enthusiatic →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,1,,
panas_10,Proud →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,1,,
panas_11,Irritable →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,,1,
panas_12,Alert →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,1,,
panas_13,Ashamed →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,,1,
panas_14,Inspired →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,1,,
panas_15,Nervous →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,,1,
panas_16,Determined →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,1,,
panas_17,Attentive →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,1,,
panas_18,Jittery →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,,1,
panas_19,Active →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,1,,
panas_20,Afraid →,likert,Not At All|A Little|Moderately|Quite A Bit|Extremely,No,1|2|3|4|5,yes,150px,,1,
,,,,,,,,,,