item_name,text,type,answers,optional,values,side_by_side,btn_width,btn_font_size,score:sfs_total,shuffle_question,
Instructions,<h2><span><b>Post Task Attention Scale</b></span></h2><br><br><h6><b>INSTRUCTIONS: </b></h6>Read each statement below and select the appropriate response to indicate how much you agree or disagree with it in relation to your experience while completing the previous task. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best.<br/><br/>,instruct,,,,,,,,,
pta_1,I was fully focused on the task from start to finish.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,200px,14px,1,on,
pta_2,I felt my thoughts drift away from the task.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,200px,14px,r1,on,
pta_3,I often caught myself thinking about unrelated matters.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,200px,14px,r1,on,
pta_4,I felt actively engaged with what I was doing.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,200px,14px,1,on,
pta_5,I was easily distracted during the task.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,200px,14px,r1,on,
pta_6,I gave the task my full attention throughout.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,200px,14px,1,on,
pta_7,I found it hard to concentrate on the task.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,200px,14px,r1,on,
pta_8,I was aware of what my actions throughout the task.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,200px,14px,1,on,
pta_9,Time seemed to pass quickly because I was absorbed in the task.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,200px,14px,1,on,
,,,,,,,,,,,