item_name,text,type,answers,optional,values,side_by_side,btn_width,
Instructions,"<h2><span>Trait Anxiety Scale</span></h2><br><br>INSTRUCTIONS:  A number of statements which people have used to describe themselves are given below.  Read each statement and then circle an answer sheet to indicate how you generally feel.  There are no right or wrong answers.  Do not spend too much time on any one statement, but give the answer which seems to describe how you generally feel.</span><br/><br/>",instruct,,,,,,
trait_anx_1,1. I feel pleasant,likert,Almost Never|Sometimes|Often|Almost Always," No",3|2|1|0,yes,150px,
trait_anx_2,2. I feel nervous and restless,likert,Almost Never|Sometimes|Often|Almost Always,No,3|2|1|0,yes,150px,
trait_anx_3,3. I am satisfied with myself,likert,Almost Never|Sometimes|Often|Almost Always,No,0|1|2|3,yes,150px,
trait_anx_4,4. l wish I could be as happy as others seem to be,likert,Almost Never|Sometimes|Often|Almost Always,No,0|1|2|4,yes,150px,
trait_anx_5,5. I feel like a failure,likert,Almost Never|Sometimes|Often|Almost Always,No,3|2|1|0,yes,150px,
trait_anx_6,6. I feel rested,likert,Almost Never|Sometimes|Often|Almost Always,No,0|1|2|4,yes,150px,
trait_anx_7,"7. I am ""calm, cool, and collected""",likert,Almost Never|Sometimes|Often|Almost Always,No,0|1|2|4,yes,150px,
trait_anx_8,8. I feel that difficulties are piling p so that I cannot overcome them,likert,Almost Never|Sometimes|Often|Almost Always,No,3|2|1|0,yes,150px,
trait_anx_9,9. I worry too much over something that really doesn't matter,likert,Almost Never|Sometimes|Often|Almost Always,No,0|1|2|4,yes,150px,
trait_anx_10,10. I am happy,likert,Almost Never|Sometimes|Often|Almost Always,No,3|2|1|0,yes,150px,
trait_anx_11,11. I have disturbing thoughts,likert,Almost Never|Sometimes|Often|Almost Always,No,3|2|1|0,yes,150px,
trait_anx_12,12. I lack self-confidence,likert,Almost Never|Sometimes|Often|Almost Always,No,0|1|2|4,yes,150px,
trait_anx_13,13. I feel secure,likert,Almost Never|Sometimes|Often|Almost Always,No,0|1|2|4,yes,150px,
trait_anx_14,14. I make decision easily,likert,Almost Never|Sometimes|Often|Almost Always,No,0|1|2|4,yes,150px,
trait_anx_15,15. I feel inadequate,likert,Almost Never|Sometimes|Often|Almost Always,No,3|2|1|0,yes,150px,
trait_anx_16,16. I am content,likert,Almost Never|Sometimes|Often|Almost Always,No,3|2|1|0,yes,150px,
trait_anx_17,17. Some unimportant thought run through my mind and bothers me,likert,Almost Never|Sometimes|Often|Almost Always,No,0|1|2|4,yes,150px,
trait_anx_18,18. I take disappointments so keenly that I can't put them out of my mind,likert,Almost Never|Sometimes|Often|Almost Always,No,0|1|2|4,yes,150px,
trait_anx_19,19. I am a steady person,likert,Almost Never|Sometimes|Often|Almost Always,No,3|2|1|0,yes,150px,
trait_anx_20,20. I get in a state of tension or turmoil as I think about my recent concerns and interests,likert,Almost Never|Sometimes|Often|Almost Always,No,3|2|1|0,yes,150px,
,,,,,,,,